origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan,result
SO359536,3.1722758,1.04974,106.58023829999999,-6.2366981,CURUG,0
SO359443,17.2,4.0,106.72152890000001,-6.3124113,CIPUTAT,1
SO359441,4.3,1.0,106.895996,-6.401955,TAPOS,2
SO359439,3.28015943,0.4522152,106.7592342,-6.1983083,KEMBANGAN,3
SO359434,4.3,1.0,106.8719958,-6.3797413,CIMANGGIS,4
SO360861,0.22335181,0.06581699999999999,106.625868,-6.290457099999999,PAGEDANGAN,5
SO360670,0.089185,0.01634,106.5886942,-6.2874809,LEGOK,5
SO360581,0.02392,0.0132,106.5997493,-6.286123,PAGEDANGAN,5
SO360578,0.04762275,0.0096,106.643294,-6.3288402999999995,CISAUK,5
SO360553,0.025688,0.00294,106.6020538,-6.3439824,CISAUK,5
SO360172,0.041227999999999994,0.013619999999999998,106.5829848,-6.3171973,LEGOK,5
SO360169,0.1485,0.076,106.5778065,-6.29968,LEGOK,5
SO360159,0.0574365,0.008473999999999999,106.64262099999999,-6.3381870000000005,CISAUK,5
SO359375,0.15133925,0.0690395,106.59546200000001,-6.3047115,LEGOK,5
SO361090,0.27369,0.145784,106.559326,-6.2296927,CURUG,6
SO360739,0.5473279999999999,0.03642,106.5858175,-6.248117400000001,CURUG,6
SO360707,0.32346887,0.186628,106.5574863,-6.2548453,CURUG,6
SO360675,0.58063957,0.08513079999999999,106.5471852,-6.250545099999999,CURUG,6
SO360451,0.07266546,0.0278,106.573209,-6.2532139,CURUG,6
SO360449,0.025688,0.0011,106.59141070000001,-6.2764428,LEGOK,6
SO359792,0.0409032,0.008584,106.5680007,-6.244351999999999,CURUG,6
SO359765,0.2318232,0.036389300000000006,106.5691694,-6.2784951,LEGOK,6
SO359530,0.025688,0.00115,106.5552453,-6.2247496,CIKUPA,6
SO359339,0.267205047,0.050816,106.54964890000001,-6.2861455,PANONGAN,6
SO359170,0.32668800000000003,0.0708,106.5536811,-6.2292319,CURUG,6
SO358974,0.00889203,0.0068,106.56643249999999,-6.2627422,CURUG,6
SO361038,0.139469744,0.076865,106.60604209999998,-6.2207359,KELAPA DUA,7
SO361005,0.15926575,0.0336535,106.6467004,-6.2166755,PINANG,7
SO360904,0.050138199999999994,0.018364,106.6223653,-6.2341684,KELAPA DUA,7
SO360244,0.0574365,0.006679999999999999,106.61854299999999,-6.238657,KELAPA DUA,7
